2016,Donald Trump,Hillary Clinton
Alabama,9,100
Alaska,3,100
Arizona,11,75
Arkansas,6,100
California,55,0
Colorado,9,25
Connecticut,7,0
Delaware,3,0
District of Columbia,3,0
Florida,29,50
Georgia,16,75
Hawaii,4,0
Idaho,4,100
Illinois,20,0
Indiana,11,100
Iowa,6,75
Kansas,6,100
Kentucky,8,100
Louisiana,8,100
Maine,4,0
Maryland,10,0
Massachusetts,11,0
Michigan,16,50
Minnesota,10,25
Mississippi,6,100
Missouri,10,100
Montana,3,100
Nebraska,5,100
Nevada,6,50
New Hampshire,4,25
New Jersey,14,0
New Mexico,5,25
New York,29,0
North Carolina,15,25
North Dakota,3,100
Ohio,18,75
Oklahoma,7,100
Oregon,7,0
Pennsylvania,20,25
Rhode Island,4,0
South Carolina,9,75
South Dakota,3,100
Tennessee,11,100
Texas,38,100
Utah,6,100
Vermont,3,0
Virginia,13,25
Washington,12,0
West Virginia,5,100
Wisconsin,10,25
Wyoming,3,100
