Alabama,9,100
Alaska,3,98
Arizona,11,68
Arkansas,6,100
California,54,0
Colorado,10,4
Connecticut,7,0
Delaware,3,1
District of Columbia,3,0
Florida,30,90
Georgia,16,68
Hawaii,4,0
Idaho,4,100
Illinois,19,1
Indiana,11,100
Iowa,6,91
Kansas,6,99
Kentucky,8,100
Louisiana,8,100
Maine,2,17
Maine 1st District,1,0
Maine 2nd District,1,86
Maryland,10,0
Massachusetts,11,0
Michigan,15,37
Minnesota,10,11
Mississippi,6,100
Missouri,10,99
Montana,4,100
Nebraska,2,100
Nebraska 1st District,1,95
Nebraska 2nd District,1,11
Nebraska 3rd District,1,100
Nevada,6,46
New Hampshire,4,11
New Jersey,14,1
New Mexico,5,6
New York,28,0
North Carolina,16,61
North Dakota,3,100
Ohio,17,94
Oklahoma,7,100
Oregon,8,2
Pennsylvania,19,53
Rhode Island,4,0
South Carolina,9,99
South Dakota,3,100
Tennessee,11,100
Texas,40,92
Utah,6,100
Vermont,3,0
Virginia,13,8
Washington,12,0
West Virginia,4,100
Wisconsin,10,48
Wyoming,3,100
